Word,Ink,Response Time,Correct
y,y,0.9773769378662109,1.0
y,y,0.7574100494384766,1.0
b,b,1.050210952758789,1.0
b,y,0.9867391586303711,1.0
b,r,0.902155876159668,1.0
g,g,1.2290241718292236,1.0
r,r,0.9908299446105957,1.0
g,g,0.9861550331115723,1.0
g,g,0.7814140319824219,1.0
y,y,1.0809829235076904,1.0
r,y,1.088066816329956,1.0
r,g,0.9675261974334717,1.0
g,b,1.1075870990753174,1.0
r,r,0.9140968322753906,1.0
r,y,0.9040999412536621,1.0
g,y,0.9108021259307861,1.0
b,b,1.3015928268432617,1.0
g,g,1.052198886871338,1.0
y,b,1.260909080505371,1.0
b,y,1.0214779376983643,1.0
