Word,Ink,Response Time,Correct
g,g,1.0037410259246826,1.0
g,g,1.7827420234680176,1.0
b,r,1.602036952972412,0.0
r,g,3.276594877243042,1.0
y,g,2.180583953857422,1.0
r,r,1.6078450679779053,0.0
r,r,3.002607822418213,1.0
r,r,1.261343002319336,1.0
b,r,1.71803617477417,1.0
y,y,1.4198989868164062,1.0
r,r,1.493981122970581,1.0
g,y,1.989346981048584,1.0
g,r,1.888706922531128,1.0
y,b,2.231908082962036,1.0
g,g,1.8732759952545166,1.0
r,y,1.8732779026031494,1.0
y,y,1.8653080463409424,1.0
y,r,1.8413140773773193,1.0
b,b,1.4986848831176758,1.0
y,y,2.0813159942626953,1.0
