Word,Ink,Response Time,Correct
b,b,0.3276690160000726,1.0
b,b,0.7818047840000872,1.0
y,y,1.2800983730003281,1.0
g,b,1.103348446000382,1.0
y,y,0.9631818679999924,1.0
r,r,0.8880701289999706,1.0
r,r,0.7579187549999915,1.0
y,y,0.8087865550005517,1.0
b,b,0.7870589000003747,1.0
y,r,0.9729784929995731,1.0
y,g,1.136629718000222,1.0
r,b,1.7421668750002937,1.0
y,y,1.067661322999811,1.0
b,b,0.843104045000473,1.0
y,y,0.8579244760003348,1.0
g,r,1.147154627999953,1.0
y,y,0.9187717770000745,1.0
y,y,0.6856667339998239,1.0
r,r,1.0671343699996214,1.0
g,y,1.7956667129992638,1.0
