Word,Ink,Response Time,Correct
b,b,0.650723745000505,1.0
y,g,0.8756701610000164,1.0
y,g,0.6586844459998247,1.0
r,g,0.9228795549988718,1.0
y,r,1.088798034001229,1.0
y,y,0.9490074870009266,1.0
r,y,0.5465375469993887,1.0
r,g,0.9355748210000456,1.0
g,b,0.8691648919993895,1.0
g,g,0.6597635679991072,1.0
y,y,0.788567083000089,1.0
b,y,0.8393762209998386,1.0
r,r,0.7423939069994958,1.0
r,y,0.6993958680013748,0.0
g,r,1.0583465700001398,1.0
y,y,0.9690402519991039,1.0
b,y,0.6932906970014301,1.0
g,b,0.9636756880008761,0.0
b,r,0.9031838310002058,1.0
r,r,0.7905402189990127,1.0
