Word,Ink,Response Time,Correct
y,r,2.0336599349975586,1.0
g,g,1.467005968093872,1.0
y,y,1.5949599742889404,1.0
y,y,1.5263919830322266,1.0
r,y,1.5003600120544434,1.0
g,g,1.6110389232635498,1.0
g,g,1.6777880191802979,1.0
y,y,2.7978038787841797,1.0
r,r,2.456315040588379,1.0
r,g,1.7370140552520752,1.0
g,g,1.9903509616851807,1.0
g,g,1.9296989440917969,1.0
y,y,1.7276089191436768,1.0
r,b,1.9816951751708984,1.0
r,b,1.8969271183013916,0.0
y,y,1.8077869415283203,1.0
y,y,1.8743469715118408,1.0
y,b,1.8823869228363037,1.0
r,r,2.2017040252685547,1.0
y,y,1.6445109844207764,1.0
