Word,Ink,Response Time,Correct
y,g,1.131474605999756,1.0
y,g,0.47991439099951094,1.0
y,y,1.094261691999236,1.0
b,g,1.4369063929998447,1.0
b,b,0.8607412020000993,1.0
b,b,0.5319608469999366,1.0
b,b,0.48925394699926983,1.0
b,r,0.8558067940002729,1.0
y,g,1.0158194779996848,1.0
b,b,0.7134594240005754,1.0
y,r,1.7197606029994859,1.0
b,g,1.1669199719999597,1.0
r,r,0.6271569970003839,1.0
r,r,0.4918993719993523,1.0
r,b,1.5699498630001472,1.0
r,y,0.6204723620003278,0.0
b,b,1.0473152080003274,1.0
r,r,0.9522308300001896,1.0
r,y,1.1010429890002342,1.0
b,g,0.9872933209999246,1.0
