Word,Ink,Response Time,Correct
g,b,0.90273118019104,1.0
g,g,0.7573590278625488,1.0
b,y,0.9141640663146973,1.0
r,b,0.9280250072479248,1.0
b,b,0.5660398006439209,1.0
g,g,0.8340330123901367,1.0
y,r,0.8113870620727539,1.0
r,b,1.2379770278930664,1.0
b,b,0.583341121673584,1.0
b,r,0.9146971702575684,1.0
b,b,0.8246910572052002,1.0
y,b,0.9787189960479736,1.0
y,y,0.6227309703826904,1.0
b,r,0.8806960582733154,1.0
r,r,0.5600399971008301,1.0
y,y,0.6767008304595947,1.0
r,y,1.1646790504455566,1.0
g,b,0.9526960849761963,1.0
b,y,1.0053751468658447,1.0
r,r,0.6879990100860596,1.0
