Word,Ink,Response Time,Correct
g,g,0.9920470714569092,1.0
y,b,2.107541084289551,1.0
b,r,1.3061840534210205,1.0
g,r,1.8248858451843262,1.0
y,b,1.266880989074707,1.0
g,y,1.2108638286590576,1.0
r,y,0.8455219268798828,1.0
g,b,1.2148711681365967,1.0
y,r,1.432753086090088,1.0
r,r,1.7380931377410889,1.0
r,y,1.5194358825683594,1.0
r,b,1.1414179801940918,1.0
b,r,1.7707459926605225,1.0
b,y,1.1907610893249512,1.0
g,g,1.6261379718780518,1.0
b,r,2.0680179595947266,1.0
g,b,1.6199889183044434,1.0
y,g,1.6141388416290283,1.0
b,b,0.9121708869934082,1.0
y,b,0.8788039684295654,0.0
