Word,Ink,Response Time,Correct
g,g,0.9837949100001424,1.0
b,g,1.0174126869997053,1.0
g,g,0.515787604000252,1.0
r,g,0.5866482589999578,1.0
y,r,1.2776408480003738,1.0
r,b,1.0684277359996486,1.0
y,y,0.8573822019998261,1.0
r,r,0.9775922529997843,1.0
b,y,1.5006159710001157,1.0
b,b,0.8042746219998662,1.0
g,g,0.9986469629993735,1.0
b,g,1.2811802090000128,1.0
g,g,0.5522967639999479,1.0
r,b,1.1328908660007073,1.0
y,b,0.7705546079996566,1.0
r,r,1.6783695330004775,1.0
g,g,0.7734621579993473,1.0
y,y,0.8892418879995603,1.0
b,b,0.814580303999719,1.0
y,b,1.2403823199992985,1.0
