Word,Ink,Response Time,Correct
b,g,1.0671611030002168,1.0
y,g,0.6441964590003408,1.0
g,g,0.4927128260005702,1.0
g,y,1.0094809629999872,1.0
y,b,0.8818584290002036,1.0
r,r,0.6662640690001354,1.0
y,y,0.7964308460004759,1.0
y,y,0.6056767849995595,1.0
y,g,0.9347251019999021,1.0
g,r,0.8599892950005597,1.0
g,g,0.6604620559992327,1.0
b,y,0.8689137880000999,1.0
y,b,1.692175025999859,1.0
b,r,0.8195462039993799,1.0
b,y,1.029049056999611,1.0
r,r,0.6712355890003892,1.0
g,g,0.9346421930003999,1.0
r,r,0.835752978000528,1.0
y,b,1.387947506999808,1.0
b,b,0.6057985729994471,1.0
