Word,Ink,Response Time,Correct
b,b,1.31502103805542,1.0
g,g,1.8653819561004639,1.0
g,b,1.6172809600830078,0.0
r,r,1.5152499675750732,1.0
b,b,1.1773018836975098,1.0
b,y,1.8613300323486328,0.0
y,y,2.373173952102661,1.0
r,y,1.8652560710906982,1.0
r,g,1.6492400169372559,1.0
y,g,3.0739479064941406,1.0
r,r,2.361928939819336,1.0
r,b,2.5345680713653564,1.0
b,b,2.459908962249756,1.0
g,b,2.012502908706665,1.0
y,g,1.6472270488739014,0.0
g,g,2.199826955795288,1.0
b,g,1.9705960750579834,1.0
y,b,1.9985649585723877,1.0
r,b,1.6571831703186035,1.0
