Word,Ink,Response Time,Correct
g,g,1.4812610149383545,1.0
y,y,1.440830945968628,1.0
g,b,1.561980962753296,1.0
y,y,1.2546160221099854,1.0
r,y,1.5753519535064697,1.0
b,b,1.507335901260376,1.0
g,g,1.4179329872131348,1.0
b,b,1.4760050773620605,1.0
r,y,2.204069137573242,1.0
y,y,1.7187061309814453,1.0
r,b,3.7246739864349365,1.0
g,g,1.4906539916992188,1.0
y,r,2.9539999961853027,1.0
y,b,1.7665419578552246,1.0
g,g,1.6025378704071045,1.0
y,y,1.645362138748169,1.0
g,g,1.4945569038391113,1.0
b,b,1.7579982280731201,1.0
r,g,2.1466050148010254,1.0
y,b,1.6719410419464111,1.0
