Word,Ink,Response Time,Correct
g,g,0.8890230500001053,1.0
b,b,0.7444684719994257,1.0
g,b,1.3154630110002472,1.0
r,b,0.8006223690008483,1.0
g,g,0.9560055860001739,1.0
r,y,1.0146407110005384,1.0
y,g,0.8730094660004397,1.0
y,r,0.9114802420008346,1.0
r,r,0.6541582709996874,1.0
b,r,0.7669084619992645,1.0
r,g,0.9782241709999653,1.0
r,g,0.7414256499996554,1.0
g,y,1.2022701409987349,1.0
b,b,1.173222686000372,1.0
b,b,0.6808157070008747,1.0
r,r,0.6798073959998874,1.0
r,r,0.5353661139997712,1.0
r,r,0.4200978889984981,1.0
r,r,0.437864609000826,1.0
r,g,1.3354480029993283,1.0
