Word,Ink,Response Time,Correct
r,g,0.9079423060011322,1.0
b,b,0.8818363779992069,1.0
b,b,0.5527068459996372,1.0
g,b,1.1732992460001697,1.0
y,y,0.8644377659984457,1.0
y,y,0.7427235369996197,1.0
y,r,0.7393018940001639,1.0
y,b,1.1133193000005122,1.0
r,r,0.7672706510002172,1.0
g,g,0.7303091850008059,1.0
r,b,0.9503611530017224,1.0
y,g,0.9470936130001064,1.0
r,y,0.9391330149992427,1.0
r,r,0.7346465430000535,1.0
y,g,1.1939293249997718,1.0
g,g,0.6859187339996424,1.0
y,g,0.5882765030000883,1.0
g,r,0.9448506940007064,1.0
b,b,0.820509930001208,1.0
y,r,1.093872673000078,1.0
