Word,Ink,Response Time,Correct
b,g,1.187090988001728,1.0
r,g,0.7567622780006786,1.0
g,g,0.6164577099989401,1.0
g,g,0.49136777099920437,1.0
r,g,0.592983133999951,1.0
y,y,0.891447040001367,1.0
y,r,0.906261372998415,1.0
g,b,1.1915347849972022,1.0
y,b,1.083399871000438,1.0
y,r,1.0265053200018883,1.0
b,b,0.620919603999937,1.0
b,b,0.5104855879981187,1.0
r,g,0.9888822009997966,1.0
g,g,0.6559613360004732,1.0
b,y,1.1765594190001138,1.0
g,g,0.8038174229986907,1.0
b,y,1.1014212330010196,1.0
b,b,0.8529683689994272,1.0
b,g,1.0537731289987278,1.0
b,y,1.093306553997536,1.0
