Word,Ink,Response Time,Correct
y,y,0.9108793030000015,1.0
y,y,0.46901002200047515,1.0
r,r,0.6206054280000899,1.0
r,r,0.5508935289999499,1.0
g,b,1.2672753070000908,1.0
r,g,1.176622292000502,1.0
r,g,0.8439336220008045,1.0
g,g,0.5556043460001092,1.0
r,b,1.0701924510003664,1.0
r,y,1.31887253900004,1.0
r,g,0.8526555160005955,1.0
b,g,1.292762266999489,1.0
b,y,0.9630821130003824,1.0
b,r,1.2712060640005802,1.0
y,y,1.1977524120002272,1.0
g,b,1.1998351660004118,0.0
g,g,1.2264477159997114,1.0
y,b,1.2181037049995211,1.0
r,b,1.1401276669994331,1.0
g,g,0.9128194189997885,1.0
