Word,Ink,Response Time,Correct
b,r,1.5582543410000653,1.0
y,b,0.7220756870001424,1.0
b,r,1.2867833179998343,1.0
y,r,0.6937056910001047,1.0
y,g,1.4608331540002837,1.0
r,y,1.3554928060002567,1.0
y,g,1.4703669229993466,1.0
y,g,0.6867143409999699,1.0
g,g,0.6870707210000546,1.0
r,r,0.7021201079996899,1.0
r,b,1.2185353610002494,1.0
y,y,0.8379854660006458,0.0
b,b,1.5905449519996182,1.0
b,b,0.6419607030002226,1.0
y,r,0.9057672349999848,1.0
b,b,0.6138385659996857,1.0
y,y,0.9701360870003555,1.0
b,y,0.9899390480004513,1.0
g,g,1.0087786880003478,1.0
b,y,1.12734696500047,1.0
