Word,Ink,Response Time,Correct
b,b,1.1720471382141113,1.0
g,g,1.3762130737304688,1.0
b,g,2.0602641105651855,1.0
b,b,1.3808929920196533,1.0
g,y,1.528296947479248,1.0
g,g,1.526310920715332,1.0
y,g,2.3323349952697754,1.0
b,b,1.6095778942108154,1.0
r,g,1.9402611255645752,1.0
b,b,1.5455989837646484,1.0
b,g,1.6229610443115234,0.0
r,r,1.74491286277771,1.0
g,g,1.8463020324707031,1.0
g,g,1.6555840969085693,1.0
b,b,1.968250036239624,1.0
b,b,1.4122469425201416,1.0
b,b,1.3188419342041016,1.0
g,b,1.468871831893921,1.0
y,g,1.7488949298858643,0.0
y,g,1.8255701065063477,1.0
