Word,Ink,Response Time,Correct
b,b,1.117946951000249,1.0
r,r,0.5931419520002237,1.0
r,b,1.0213375250000354,1.0
b,b,0.6544624610000938,1.0
y,y,1.1164616630003366,1.0
y,y,0.7137295870002163,1.0
b,r,0.936620103000223,1.0
b,b,0.5799748569997973,1.0
r,b,0.9674137550000523,1.0
g,b,0.811538403999748,1.0
r,r,0.6384953889996723,1.0
r,r,0.6048621579998326,1.0
y,y,0.8468393210000613,1.0
b,b,0.5996345010003097,1.0
g,g,0.9311204470000121,1.0
b,b,0.6243046030003825,1.0
r,b,1.9696908329997314,1.0
b,b,0.7418245630001365,1.0
g,b,0.8911332360003144,1.0
r,r,0.6446714339999744,1.0
